model_name,plant_species,precision,recall,f1_score
mobilenet_125,Limonium pruinosum (L.) Chaz.,0.5048543689320388,0.42276422764227645,0.46017699115044247
mobilenet_125,Lycium shawii Roem. & Schult.,0.22764227642276422,0.56,0.3236994219653179
mobilenet_125,Nitraria retusa (Forssk.) Asch.,0.3333333333333333,0.16326530612244897,0.2191780821917808
mobilenet_125,Ochradenus baccatus Delile,0.6174863387978142,0.6660117878192534,0.6408317580340265
mobilenet_125,Peganum harmala L.,0.10344827586206896,0.014423076923076924,0.02531645569620253
mobilenet_125,Rumex vesicarius L.,0.4222222222222222,0.09223300970873786,0.15139442231075698
mobilenet_125,Salsola imbricata Forssk.,0.6,0.04819277108433735,0.08921933085501858
mobilenet_125,Stachys aegyptiaca Pers.,0.47692307692307695,0.23134328358208955,0.31155778894472363
mobilenet_125,Suaeda aegyptiaca (Hasselq.) Zohary,0.11458333333333333,0.05851063829787234,0.07746478873239436
mobilenet_125,Tamarix nilotica (Ehrenb.) Bunge,0.3575949367088608,0.6569767441860465,0.46311475409836067
mobilenet_125,Trichodesma africanum (L.) Sm.,0.27,0.1125,0.1588235294117647
mobilenet_125,Zilla spinosa (L.) Prantl,0.8657718120805369,0.24855491329479767,0.38622754491017963
mobilenet_125,Zygophyllum arabicum (L.) Christenh. & Byng,0.14166666666666666,0.1827956989247312,0.1596244131455399
mobilenet_125,Zygophyllum coccineum L.,0.06666666666666667,0.2127659574468085,0.10152284263959391
mobilenet_125,Zygophyllum molle (Delile) Christenh. & Byng,0.0,0.0,0.0
mobilenet_125,Average Performance (Macro),0.33140635417483477,0.21201894194406068,0.22050090688347154
mobilenet_126,Anabasis articulata (Forssk.) Moq.,0.6,0.1337579617834395,0.21875
mobilenet_126,Anabasis setifera Moq.,0.17,0.3422818791946309,0.22717149220489977
mobilenet_126,Atriplex halimus L.,0.2857142857142857,0.42,0.340080971659919
mobilenet_126,Calotropis procera (Aiton) W.T.Aiton,0.6825396825396826,0.20476190476190476,0.315018315018315
mobilenet_126,Capparis spinosa L.,0.26811594202898553,0.21893491124260356,0.24104234527687296
mobilenet_126,Cebatha pendula (J.R.Forst. & G.Forst.) Kuntze,0.08571428571428572,0.05357142857142857,0.06593406593406594
mobilenet_126,"Cenchrus divisus (J.F.Gmel.) Verloove, Govaerts & Buttler",0.4666666666666667,0.08235294117647059,0.14
mobilenet_126,Deverra tortuosa (Desf.) DC.,0.3,0.09230769230769231,0.1411764705882353
mobilenet_126,Deverra triradiata Hochst. ex Boiss.,0.0967741935483871,0.1,0.09836065573770492
mobilenet_126,Diplotaxis harra (Forssk.) Boiss.,0.6153846153846154,0.2748091603053435,0.37994722955145116
mobilenet_126,Echinops glaberrimus DC.,0.14545454545454545,0.17391304347826086,0.15841584158415842
mobilenet_126,Ephedra alata Decne.,0.07777777777777778,0.25,0.11864406779661017
mobilenet_126,Farsetia aegyptia Turra,0.40425531914893614,0.168141592920354,0.2375
mobilenet_126,Gymnocarpos decander Forssk.,0.7263157894736842,0.2509090909090909,0.372972972972973
mobilenet_126,Haloxylon salicornicum (Moq.) Bunge ex Boiss.,0.17391304347826086,0.09876543209876543,0.12598425196850394
mobilenet_126,Heliotropium arbainense Fresen.,0.4649122807017544,0.48623853211009177,0.47533632286995514
mobilenet_126,Iphiona mucronata (Forssk.) Asch. & Schweinf.,0.0,0.0,0.0
mobilenet_126,Limonium pruinosum (L.) Chaz.,0.5384615384615384,0.45528455284552843,0.4933920704845815
mobilenet_126,Lycium shawii Roem. & Schult.,0.2616033755274262,0.496,0.3425414364640884
mobilenet_126,Nitraria retusa (Forssk.) Asch.,0.27472527472527475,0.10204081632653061,0.1488095238095238
mobilenet_126,Ochradenus baccatus Delile,0.6086956521739131,0.68762278978389,0.6457564575645757
mobilenet_126,Peganum harmala L.,0.13793103448275862,0.019230769230769232,0.03375527426160337
mobilenet_126,Rumex vesicarius L.,0.4375,0.16990291262135923,0.24475524475524477
mobilenet_126,Salsola imbricata Forssk.,0.6181818181818182,0.06827309236947791,0.12296564195298372
mobilenet_126,Stachys aegyptiaca Pers.,0.5625,0.20149253731343283,0.2967032967032967
mobilenet_126,Suaeda aegyptiaca (Hasselq.) Zohary,0.125,0.06382978723404255,0.08450704225352113
mobilenet_126,Tamarix nilotica (Ehrenb.) Bunge,0.3708609271523179,0.6511627906976745,0.47257383966244726
mobilenet_126,Trichodesma africanum (L.) Sm.,0.3076923076923077,0.11666666666666667,0.1691842900302115
mobilenet_126,Zilla spinosa (L.) Prantl,0.8268156424581006,0.28516377649325625,0.42406876790830944
mobilenet_126,Zygophyllum arabicum (L.) Christenh. & Byng,0.12666666666666668,0.20430107526881722,0.15637860082304528
mobilenet_126,Zygophyllum coccineum L.,0.0684931506849315,0.2127659574468085,0.10362694300518134
mobilenet_126,Zygophyllum molle (Delile) Christenh. & Byng,0.0,0.0,0.0
mobilenet_126,Average Performance (Macro),0.3383958067449663,0.22139009672369783,0.23110479477632123
mobilenet_127,Anabasis articulata (Forssk.) Moq.,0.6388888888888888,0.1464968152866242,0.23834196891191708
mobilenet_127,Anabasis setifera Moq.,0.17667844522968199,0.33557046979865773,0.23148148148148148
mobilenet_127,Atriplex halimus L.,0.31756756756756754,0.47,0.3790322580645161
mobilenet_127,Calotropis procera (Aiton) W.T.Aiton,0.7164179104477612,0.22857142857142856,0.34657039711191334
mobilenet_127,Capparis spinosa L.,0.2679738562091503,0.24260355029585798,0.2546583850931677
mobilenet_127,Cebatha pendula (J.R.Forst. & G.Forst.) Kuntze,0.09230769230769231,0.05357142857142857,0.06779661016949153
mobilenet_127,"Cenchrus divisus (J.F.Gmel.) Verloove, Govaerts & Buttler",0.47058823529411764,0.09411764705882353,0.1568627450980392
mobilenet_127,Deverra tortuosa (Desf.) DC.,0.26666666666666666,0.06153846153846154,0.1
mobilenet_127,Deverra triradiata Hochst. ex Boiss.,0.10714285714285714,0.1,0.10344827586206896
mobilenet_127,Diplotaxis harra (Forssk.) Boiss.,0.6415094339622641,0.2595419847328244,0.3695652173913043
mobilenet_127,Echinops glaberrimus DC.,0.14705882352941177,0.21739130434782608,0.17543859649122806
mobilenet_127,Ephedra alata Decne.,0.06172839506172839,0.17857142857142858,0.09174311926605505
mobilenet_127,Farsetia aegyptia Turra,0.42391304347826086,0.17256637168141592,0.24528301886792453
